TimePeriod,GeoType,GeoID,GeoRank,Geography,"Estimated annual rate per 10,000",Number
2023,UHF42,405,4,Ridgewood - Forest Hills,124.8,166
2023,UHF42,406,4,Fresh Meadows,105.8,59
2023,UHF42,407,4,Southwest Queens,174.4,251
2023,UHF42,408,4,Jamaica,239.8,389
2023,UHF42,409,4,Southeast Queens,206.4,193
2023,UHF42,410,4,Rockaways,164.4,144
2023,UHF42,501,4,Port Richmond,128.1,57
2023,UHF42,502,4,Stapleton - St. George,164.9,108
2023,UHF42,503,4,Willowbrook,51.2,24
2023,UHF42,504,4,South Beach - Tottenville,46.9,46
2023,Borough,1,1,Bronx,343.1,2947
2023,Borough,2,1,Brooklyn,152.4,2381
2023,Borough,3,1,Manhattan,215.2,1332
2023,Borough,4,1,Queens,177,2044
2023,Borough,5,1,Staten Island,93,237
2023,Citywide,1,0,New York City,200.9,8941
2022,CD,101,6,Financial District (CD1),113.5,38
2022,CD,102,6,Greenwich Village and Soho (CD2),40.8,10
2022,CD,103,6,Lower East Side and Chinatown (CD3),180,96
2022,CD,104,6,Clinton and Chelsea (CD4),94.9,36
2022,CD,105,6,Midtown (CD5),116.6,20
2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),85.1,32
2022,CD,107,6,Upper West Side (CD7),99.4,91
2022,CD,108,6,Upper East Side (CD8),64.6,58
2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),218,97
2022,CD,110,6,Central Harlem (CD10),428.2,268
2022,CD,111,6,East Harlem (CD11),422.7,258
2022,CD,112,6,Washington Heights and Inwood (CD12),299.5,256
2022,CD,201,6,Mott Haven and Melrose (CD1),542.7,351
2022,CD,202,6,Hunts Point and Longwood (CD2),412.2,156
2022,CD,203,6,Morrisania and Crotona (CD3),494.1,313
2022,CD,204,6,Highbridge and Concourse (CD4),441.9,461
2022,CD,205,6,Fordham and University Heights (CD5),384.4,357
2022,CD,206,6,Belmont and East Tremont (CD6),466,278
2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),356.6,347
2022,CD,208,6,Riverdale and Fieldston (CD8),212.5,124
2022,CD,209,6,Parkchester and Soundview (CD9),331,355
2022,CD,210,6,Throgs Neck and Co-op City (CD10),249.2,144
2022,CD,211,6,Morris Park and Bronxdale (CD11),354.3,233
2022,CD,212,6,Williamsbridge and Baychester (CD12),375.3,327
2022,CD,301,6,Greenpoint and Williamsburg (CD1),83,125
2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),132.8,97
2022,CD,303,6,Bedford Stuyvesant (CD3),247.6,231
2022,CD,304,6,Bushwick (CD4),186.1,122
2022,CD,305,6,East New York and Starrett City (CD5),354.3,382
2022,CD,306,6,Park Slope and Carroll Gardens (CD6),108.1,78
2022,CD,307,6,Sunset Park (CD7),56.4,48
2022,CD,308,6,Crown Heights and Prospect Heights (CD8),195.8,103
2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),199.6,114
2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),84.3,66
2022,CD,311,6,Bensonhurst (CD11),52.8,58
2022,CD,312,6,Borough Park (CD12),18,39
2022,CD,313,6,Coney Island (CD13),190.7,94
2022,CD,314,6,Flatbush and Midwood (CD14),120.5,129
2022,CD,315,6,Sheepshead Bay (CD15),61.4,62
2022,CD,316,6,Brownsville (CD16),472,246
2022,CD,317,6,East Flatbush (CD17),361.9,268
2022,CD,318,6,Flatlands and Canarsie (CD18),216.5,220
2022,CD,401,6,Long Island City and Astoria (CD1),130,106
2022,CD,402,6,Woodside and Sunnyside (CD2),107.4,81
2022,CD,403,6,Jackson Heights (CD3),160.8,172
2022,CD,404,6,Elmhurst and Corona (CD4),147.2,162
2022,CD,405,6,Ridgewood and Maspeth (CD5),155.1,143
2022,CD,406,6,Rego Park and Forest Hills (CD6),88.3,50
2022,CD,407,6,Flushing and Whitestone (CD7),105.8,123
2022,CD,408,6,Hillcrest and Fresh Meadows (CD8),163.6,142
2022,CD,409,6,Kew Gardens and Woodhaven (CD9),171.8,143
2022,CD,410,6,South Ozone Park and Howard Beach (CD10),169.1,106
2022,CD,411,6,Bayside and Little Neck (CD11),122.8,62
2022,CD,412,6,Jamaica and Hollis (CD12),286.2,354
2022,CD,413,6,Queens Village (CD13),230,207
2022,CD,414,6,Rockaway and Broad Channel (CD14),217.1,165
2022,CD,501,6,St. George and Stapleton (CD1),131.5,148
2022,CD,502,6,South Beach and Willowbrook (CD2),54.8,38
2022,CD,503,6,Tottenville and Great Kills (CD3),48.3,38
2022,UHF42,101,4,Kingsbridge - Riverdale,213.4,109
2022,UHF42,102,4,Northeast Bronx,333.5,344
2022,UHF42,103,4,Fordham - Bronx Pk,361.3,622
2022,UHF42,104,4,Pelham - Throgs Neck,317.4,540
2022,UHF42,105,4,Crotona - Tremont,442.3,676
2022,UHF42,106,4,High Bridge - Morrisania,499.4,737
2022,UHF42,107,4,Hunts Point - Mott Haven,415.2,418
2022,UHF42,201,4,Greenpoint,72.6,78
2022,UHF42,202,4,Downtown - Heights - Slope,101.8,183
2022,UHF42,203,4,Bedford Stuyvesant - Crown Heights,253.2,529
2022,UHF42,204,4,East New York,297.6,376
2022,UHF42,205,4,Sunset Park,74.8,58
2022,UHF42,206,4,Borough Park,31,87
2022,UHF42,207,4,East Flatbush - Flatbush,250.5,410
2022,UHF42,208,4,Canarsie - Flatlands,251.9,256
2022,UHF42,209,4,Bensonhurst - Bay Ridge,77,84
2022,UHF42,210,4,Coney Island - Sheepshead Bay,109.3,162
2022,UHF42,211,4,Williamsburg - Bushwick,179.5,259
2022,UHF42,301,4,Washington Heights,272.6,316
2022,UHF42,302,4,Central Harlem - Morningside Heights,336.9,311
2022,UHF42,303,4,East Harlem,435.6,242
2022,UHF42,304,4,Upper West Side,95.9,93
2022,UHF42,305,4,Upper East Side,72.4,62
2022,UHF42,306,4,Chelsea - Clinton,113.2,48
2022,UHF42,307,4,Gramercy Park - Murray Hill,91.9,35
2022,UHF42,308,4,Greenwich Village - SoHo,67.5,18
2022,UHF42,309,4,Union Square - Lower East Side,171.5,93
2022,UHF42,310,4,Lower Manhattan,121.6,38
2022,UHF42,401,4,Long Island City - Astoria,133.6,121
2022,UHF42,402,4,West Queens,161.3,423
2022,UHF42,403,4,Flushing - Clearview,115.3,128
2022,UHF42,404,4,Bayside - Little Neck,115.3,44
2022,UHF42,405,4,Ridgewood - Forest Hills,122,170
2022,UHF42,406,4,Fresh Meadows,110.4,65
2022,UHF42,407,4,Southwest Queens,164.6,249
2022,UHF42,408,4,Jamaica,257.6,440
2022,UHF42,409,4,Southeast Queens,214.1,211
2022,UHF42,410,4,Rockaways,180.2,165
2022,UHF42,501,4,Port Richmond,119.4,55
2022,UHF42,502,4,Stapleton - St. George,151.4,102
2022,UHF42,503,4,Willowbrook,43.9,21
2022,UHF42,504,4,South Beach - Tottenville,45.9,46
2022,Borough,1,1,Bronx,391.4,3490
2022,Borough,2,1,Brooklyn,151.7,2498
2022,Borough,3,1,Manhattan,197.4,1273
2022,Borough,4,1,Queens,179.7,2179
2022,Borough,5,1,Staten Island,86.4,226
2022,Citywide,1,0,New York City,207.5,9666
2021,CD,101,6,Financial District (CD1),30.8,11
2021,CD,102,6,Greenwich Village and Soho (CD2),23,6
2021,CD,103,6,Lower East Side and Chinatown (CD3),121.4,70
2021,CD,104,6,Clinton and Chelsea (CD4),49.4,20
2021,CD,105,6,Midtown (CD5),43.7,8
2021,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),22.4,9
2021,CD,107,6,Upper West Side (CD7),39.1,38
2021,CD,108,6,Upper East Side (CD8),32.4,31
2021,CD,109,6,Morningside Heights and Hamilton Heights (CD9),161.1,76
2021,CD,110,6,Central Harlem (CD10),280.7,183
2021,CD,111,6,East Harlem (CD11),248.7,161
2021,CD,112,6,Washington Heights and Inwood (CD12),188.4,173
2021,CD,201,6,Mott Haven and Melrose (CD1),342.7,237
2021,CD,202,6,Hunts Point and Longwood (CD2),288.8,117
2021,CD,203,6,Morrisania and Crotona (CD3),296.2,200
2021,CD,204,6,Highbridge and Concourse (CD4),273.9,305
2021,CD,205,6,Fordham and University Heights (CD5),278,276
2021,CD,206,6,Belmont and East Tremont (CD6),279.2,178
2021,CD,207,6,Kingsbridge Heights and Bedford (CD7),245.2,255
2021,CD,208,6,Riverdale and Fieldston (CD8),145.3,90
2021,CD,209,6,Parkchester and Soundview (CD9),221.3,253
2021,CD,210,6,Throgs Neck and Co-op City (CD10),151.7,93
2021,CD,211,6,Morris Park and Bronxdale (CD11),210.5,147
2021,CD,212,6,Williamsbridge and Baychester (CD12),267,246
2021,CD,301,6,Greenpoint and Williamsburg (CD1),48.2,75
2021,CD,302,6,Fort Greene and Brooklyn Heights (CD2),76.8,59
2021,CD,303,6,Bedford Stuyvesant (CD3),170.5,169
2021,CD,304,6,Bushwick (CD4),90.5,63
2021,CD,305,6,East New York and Starrett City (CD5),198.5,230
2021,CD,306,6,Park Slope and Carroll Gardens (CD6),57.2,43
2021,CD,307,6,Sunset Park (CD7),26.1,24
2021,CD,308,6,Crown Heights and Prospect Heights (CD8),107.1,60
2021,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),124.3,75
2021,CD,310,6,Bay Ridge and Dyker Heights (CD10),24.1,20
2021,CD,311,6,Bensonhurst (CD11),21.1,25
2021,CD,312,6,Borough Park (CD12),10.2,23
2021,CD,313,6,Coney Island (CD13),76.5,40
2021,CD,314,6,Flatbush and Midwood (CD14),49.4,56
2021,CD,315,6,Sheepshead Bay (CD15),36.9,39
2021,CD,316,6,Brownsville (CD16),293,164
2021,CD,317,6,East Flatbush (CD17),211.9,169
2021,CD,318,6,Flatlands and Canarsie (CD18),121.3,131
