TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2013,UHF42,407,4,Southwest Queens,63.5,63.7,1417
2013,UHF42,408,4,Jamaica,103.1,103.9,2534
2013,UHF42,409,4,Southeast Queens,60.6,58.8,987
2013,UHF42,410,4,Rockaways,106,103.6,928
2013,UHF42,501,4,Port Richmond,137.9,140.8,680
2013,UHF42,502,4,Stapleton - St. George,110.9,109.7,1047
2013,UHF42,503,4,Willowbrook,44.2,43,298
2013,UHF42,504,4,South Beach - Tottenville,35.8,33.9,520
2013,Borough,1,1,Bronx,224,225.8,23937
2013,Borough,2,1,Brooklyn,122.6,122,24305
2013,Borough,3,1,Manhattan,101.6,97.7,13586
2013,Borough,4,1,Queens,60.3,60.3,11020
2013,Borough,5,1,Staten Island,73.3,71.6,2625
2013,Citywide,1,0,New York City,114,113.7,75473
2012,UHF42,101,4,Kingsbridge - Riverdale,73.6,72.1,534
2012,UHF42,102,4,Northeast Bronx,137.6,134.3,2084
2012,UHF42,103,4,Fordham - Bronx Pk,199.4,199.4,3676
2012,UHF42,104,4,Pelham - Throgs Neck,162.3,163.6,3767
2012,UHF42,105,4,Crotona - Tremont,296.3,298.3,4457
2012,UHF42,106,4,High Bridge - Morrisania,289.1,291.9,4447
2012,UHF42,107,4,Hunts Point - Mott Haven,323.8,330,3261
2012,UHF42,201,4,Greenpoint,80.8,66.8,693
2012,UHF42,202,4,Downtown - Heights - Slope,96.6,89.6,1777
2012,UHF42,203,4,Bedford Stuyvesant - Crown Heights,239.6,241.1,6088
2012,UHF42,204,4,East New York,229.2,235.3,3196
2012,UHF42,205,4,Sunset Park,89.8,84.3,824
2012,UHF42,206,4,Borough Park,38.9,38.8,926
2012,UHF42,207,4,East Flatbush - Flatbush,146.6,146.5,3411
2012,UHF42,208,4,Canarsie - Flatlands,104,101.7,1628
2012,UHF42,209,4,Bensonhurst - Bay Ridge,32.7,32.4,534
2012,UHF42,210,4,Coney Island - Sheepshead Bay,60.5,59.4,1327
2012,UHF42,211,4,Williamsburg - Bushwick,274,260.5,4257
2012,UHF42,301,4,Washington Heights,98.2,97.7,2120
2012,UHF42,302,4,Central Harlem - Morningside Heights,279.9,277.9,3938
2012,UHF42,303,4,East Harlem,327.1,325.6,2880
2012,UHF42,304,4,Upper West Side,61.9,59.4,1108
2012,UHF42,305,4,Upper East Side,21.5,20.6,386
2012,UHF42,306,4,Chelsea - Clinton,61.8,57,791
2012,UHF42,307,4,Gramercy Park - Murray Hill,52.1,46.1,549
2012,UHF42,308,4,Greenwich Village - SoHo,19.8,18.2,132
2012,UHF42,309,4,Union Square - Lower East Side,111,106.8,1838
2012,UHF42,310,4,Lower Manhattan,61.7,47.9,244
2012,UHF42,401,4,Long Island City - Astoria,69.2,64,1135
2012,UHF42,402,4,West Queens,43,42.6,1570
2012,UHF42,403,4,Flushing - Clearview,30.1,29.5,620
2012,UHF42,404,4,Bayside - Little Neck,22.6,21.4,155
2012,UHF42,405,4,Ridgewood - Forest Hills,41.5,40.8,830
2012,UHF42,406,4,Fresh Meadows,54.9,53.1,414
2012,UHF42,407,4,Southwest Queens,73,73.3,1616
2012,UHF42,408,4,Jamaica,105.3,105.7,2547
2012,UHF42,409,4,Southeast Queens,67.2,65.4,1087
2012,UHF42,410,4,Rockaways,132.1,130.4,1164
2012,UHF42,501,4,Port Richmond,174.7,176.7,844
2012,UHF42,502,4,Stapleton - St. George,126,124.5,1177
2012,UHF42,503,4,Willowbrook,41.5,41.3,284
2012,UHF42,504,4,South Beach - Tottenville,45.9,44.9,688
2012,Borough,1,1,Bronx,218.1,220.2,23063
2012,Borough,2,1,Brooklyn,129.3,129,25438
2012,Borough,3,1,Manhattan,109,104.9,14537
2012,Borough,4,1,Queens,64.5,64.5,11685
2012,Borough,5,1,Staten Island,85.9,84.3,3069
2012,Citywide,1,0,New York City,118.3,118.2,77792
2011,UHF42,101,4,Kingsbridge - Riverdale,67.3,65.2,481
2011,UHF42,102,4,Northeast Bronx,89.2,89.8,1380
2011,UHF42,103,4,Fordham - Bronx Pk,168.4,167.4,3034
2011,UHF42,104,4,Pelham - Throgs Neck,136.4,137.8,3135
2011,UHF42,105,4,Crotona - Tremont,301.3,302.3,4426
2011,UHF42,106,4,High Bridge - Morrisania,262.8,263.4,3937
2011,UHF42,107,4,Hunts Point - Mott Haven,297.3,300.2,2902
2011,UHF42,201,4,Greenpoint,76.3,65.4,662
2011,UHF42,202,4,Downtown - Heights - Slope,100.5,91.1,1761
2011,UHF42,203,4,Bedford Stuyvesant - Crown Heights,217.2,218,5453
2011,UHF42,204,4,East New York,212.2,216.9,2926
2011,UHF42,205,4,Sunset Park,80.1,76.8,737
2011,UHF42,206,4,Borough Park,36,36,847
2011,UHF42,207,4,East Flatbush - Flatbush,146.1,146.4,3378
2011,UHF42,208,4,Canarsie - Flatlands,104.2,102.2,1624
2011,UHF42,209,4,Bensonhurst - Bay Ridge,26.4,26.2,424
2011,UHF42,210,4,Coney Island - Sheepshead Bay,57.2,56.2,1240
2011,UHF42,211,4,Williamsburg - Bushwick,246.3,233.8,3782
2011,UHF42,301,4,Washington Heights,95.4,95,2036
2011,UHF42,302,4,Central Harlem - Morningside Heights,261.1,259.8,3664
2011,UHF42,303,4,East Harlem,317.7,317.9,2782
2011,UHF42,304,4,Upper West Side,55.7,54,999
2011,UHF42,305,4,Upper East Side,26.7,24.7,459
2011,UHF42,306,4,Chelsea - Clinton,58.8,54.8,749
2011,UHF42,307,4,Gramercy Park - Murray Hill,54.7,46.8,552
2011,UHF42,308,4,Greenwich Village - SoHo,22.2,20.4,147
2011,UHF42,309,4,Union Square - Lower East Side,104.3,101.3,1730
2011,UHF42,310,4,Lower Manhattan,55.1,47.8,239
2011,UHF42,401,4,Long Island City - Astoria,69,63.6,1118
2011,UHF42,402,4,West Queens,40.3,39.6,1447
2011,UHF42,403,4,Flushing - Clearview,29.8,29.6,615
2011,UHF42,404,4,Bayside - Little Neck,17.4,17.5,126
2011,UHF42,405,4,Ridgewood - Forest Hills,39.9,39,792
2011,UHF42,406,4,Fresh Meadows,47.4,46.4,359
